109,Car,Honda,Model X,8,638LH6785,2.00,2021,01,24,100000,-56.2222,-6.23431,4
110,Car,Lamborghini,Model S,9,381HG8557,2.00,2021,02,19,100600,-57.2634,-6.22782,5
111,Car,BMW,Model X,8,938LH6785,2.00,2021,03,24,100000,-56.2222,-6.23432,4
112,Car,Ferrari,Model S,9,914HG8557,2.00,2021,04,19,100600,-57.2634,-6.22784,5
113,Car,Porsche,Model X,8,284LH6785,2.00,2021,05,24,100000,-56.2222,-6.23435,4
114,Car,Ford,Model S,9,725HG8557,2.00,2021,06,19,100600,-57.26434,-6.22786,5
115,Car,Honda,Model X,8,271LH6785,2.00,2021,07,24,100000,-56.2222,-6.23437,4
116,Car,Lamborghini,Model S,9,712HG8557,2.00,2021,08,19,100600,-57.2634,-6.22788,5
117,Car,Porsche,Model X,8,268LH6785,2.00,2021,09,24,100000,-56.2222,-6.23439,4
118,Car,Ford,Model S,9,182HG8557,2.00,2021,10,19,100600,-57.2634,-6.227810,5
119,Car,Tesla,Model X,8,287LH6785,2.00,2021,11,24,100000,-56.2222,-6.234311,4
120,Car,BMW,Model S,9,298HG8557,2.00,2021,12,19,100600,-57.26344,-6.227812,5
121,Car,Honda,Model X,8,987LH6785,2.00,2021,08,02,100000,-56.2222,-6.234313,4
122,Car,BMW,Model S,9,265HG8557,2.00,2021,07,03,100600,-57.2634,-6.227814,5
123,Car,Ford,Model X,8,287LH6785,2.00,2021,08,04,100000,-56.2222,-6.234315,4
124,Car,Lamborghini,Model S,9,278HG8557,2.00,2021,07,05,100600,-57.2634,-6.227816,5
125,Car,Porsche,Model X,8,276LH6785,2.00,2021,08,06,100000,-56.2222,-6.234317,4
126,Car,Ferrari,Model S,9,287HG8557,2.00,2021,07,07,100600,-57.26344,-6.227818,5
127,Car,Honda,Model X,8,197LH6785,2.00,2021,08,08,100000,-56.2222,-6.234319,4
128,Car,BMW,Model S,9,279HG8557,2.00,2021,07,09,100600,-57.2634,-6.227820,5
129,Car,Tesla,Model X,8,198LH6785,2.00,2021,08,10,100000,-56.22242,-6.234321,4
130,Car,Porsche,Model S,9,981HG8677,2.00,2021,07,11,100600,-57.2634,-6.227822,5
131,Car,Ferrari,Model X,8,272LH6785,2.00,2021,08,12,100000,-56.2222,-6.234323,4
132,Car,Ford,Model S,9,982HG8557,2.00,2021,07,13,100600,-57.2634,-6.227824,5
133,Car,Honda,Model X,8,625LH6785,2.00,2021,08,14,100000,-56.2222,-6.234325,4
134,Car,Lamborghini,Model S,9,286HG8557,2.00,2021,07,15,100600,-57.2634,-6.227826,5
135,Car,Porsche,Model X,8,289LH6785,2.00,2021,08,16,100000,-56.2222,-6.234327,4
136,Car,Ferrari,Model S,9,101HG8557,2.00,2021,07,17,100600,-57.26344,-6.227828,5
137,Car,Tesla,Model X,8,281LH6785,2.00,2021,08,18,100000,-56.2222,-6.234329,4
138,Car,BMW,Model S,9,395HG8557,2.00,2021,07,19,100600,-57.2634,-6.227830,5
139,Car,Honda,Model X,8,188LH6785,2.00,2021,08,20,100000,-56.22242,-6.234331,4
140,Car,Ferrari,Model X,8,183LH6785,2.00,2021,08,21,100000,-56.2222,-6.234332,4
141,Car,Lamborghini,Model S,9,110HG8557,2.00,2021,07,22,100600,-57.2634,-6.227833,5
142,Car,BMW,Model X,8,712LH6785,2.00,2021,08,23,100000,-56.2222,-6.234334,4
143,Car,Ferrari,Model S,9,981HG8557,2.00,2021,07,24,100600,-57.2634,-6.227835,5
144,Car,Porsche,Model X,8,710LH6785,2.00,2021,08,25,100000,-56.24222,-6.234336,4
145,Car,Honda,Model S,9,999HG8557,2.00,2021,07,26,100600,-57.2634,-6.227837,5
146,Car,BMW,Model X,8,912LH6785,2.00,2021,08,27,100000,-56.2222,-6.234338,4
147,Car,Ford,Model S,9,721HG8557,2.00,2021,07,28,100600,-57.26434,-6.227839,5
148,Car,Tesla,Model X,8,170LH6785,2.00,2021,08,29,100000,-56.2222,-6.234340,4
149,Car,Lamborghini,Model S,9,291HG8557,2.00,2021,02,02,100600,-57.263441,-6.227841,5
150,Car,Tesla,Model X,8,195LH6785,2.00,2021,03,03,100000,-56.2222,-6.234342,4
151,Car,Honda,Model S,9,152HG8557,2.00,2021,04,04,100600,-57.2634,-6.227843,5
152,Car,Ferrari,Model X,8,916LH6785,2.00,2021,05,05,100000,-56.22422,-6.234344,4
153,Car,BMW,Model S,9,180HG8557,2.00,2021,07,07,100600,-57.2634,-6.227845,5
154,Car,Tesla,Model X,8,777LH6785,2.00,2021,05,06,100000,-56.2222,-6.234346,4
155,Car,Ford,Model S,9,444HG8557,2.00,2021,06,07,100600,-57.24634,-6.227847,5
156,Car,Honda,Model S,9,229HG8557,2.00,2021,08,09,100600,-57.2634,-6.227848,5
158,Car,Porsche,Model X,8,123LH6785,2.00,2021,09,10,100000,-56.22242,-6.234349,4
159,Car,Ferrari,Model S,9,115HG8557,2.00,2021,11,12,100600,-57.2634,-6.227850,5
160,Car,Lamborghini,Model X,8,209LH6785,2.00,2021,02,24,100000,-56.2422,-6.2351,4
161,4x4,Land Rover,Model Z,12,132ABC726,4.00,2016,05,13,134600,-55.274478,-6.3678,8
162,4x4,Range Rover,Model Y,7,172DEF272,4.00,2017,04,14,187400,-56.264579,-6.2978,7
161,4x4,JEEP,Model Z,12,132GHI726,4.00,2018,05,13,134600,-55.274480,-6.3678,8
162,4x4,Range Rover,Model Y,7,172JKL272,4.00,2015,04,14,187400,-56.264581,-6.2978,7
161,4x4,JEEP,Model Z,12,132MNO726,4.00,2021,07,13,134600,-55.274482,-6.3678,8
162,4x4,Range Rover,Model Y,7,172PQR272,4.00,2021,08,14,187400,-56.264583,-6.2978,7
161,4x4,JEEP,Model Z,12,132TAKUL26,4.00,2021,12,13,134600,-55.274484,-6.3678,8
162,4x4,Range Rover,Model Y,7,172STU272,4.00,2021,04,30,187400,-56.264585,-6.2978,7
161,4x4,JEEP,Model Z,12,132ATA726,4.00,2021,05,14,134600,-55.274486,-6.3678,8
162,4x4,Range Rover,Model Y,7,172VWX272,4.00,2021,04,14,187400,-56.264587,-6.2978,7
163,Van,Fiat,Runround,6,151D987A05,6.00,2020,12,15,100034,53.3456,-6.3421,140.5
164,Van,Ford,Transit,4,172LH234B06,6.00,2021,03,30,106000,53.7654,-6.6235,160.5
165,Van,Fiat,Runround,6,151D987C05,6.00,2020,12,15,100034,53.3456,-6.3421,140.5
166,Van,Ford,Transit,4,172LH234D06,6.00,2021,03,30,106000,53.7654,-6.6235,160.5
167,Van,Fiat,Runround,6,151D987E05,6.00,2020,12,15,100034,53.3456,-6.3421,140.5
168,Van,Ford,Transit,4,172LH234F06,6.00,2021,03,30,106000,53.7654,-6.6235,160.5
169,Van,Fiat,Runround,6,151D987G05,6.00,2020,12,15,100034,53.3456,-6.3421,140.5
170,Van,Ford,Transit,4,172LH234H06,6.00,2021,03,30,106000,53.7654,-6.6235,160.5
171,Van,Fiat,Runround,6,151D987I05,6.00,2020,12,15,100034,53.3456,-6.3421,140.5
172,Van,Ford,Transit,4,172LH234J06,6.00,2021,03,30,106000,53.7654,-6.6235,160.5
173,Truck,Nisan,Urvan,4,181MN6538K07,10.00,2021,05,24,126000,53.2543,-6.4444,240.8
174,Truck,Opel,OpelTruck,4,16187398L57,10.00,2021,08,22,119000,53.2863,-6.7654,270.6
175,Truck,Nisan,Urvan,4,181MN6538M07,10.00,2021,05,24,126000,53.2543,-6.4444,240.8
176,Truck,Opel,OpelTruck,4,16187398N57,10.00,2021,08,22,119000,53.2863,-6.7654,270.6
177,Truck,Nisan,Urvan,4,181MN6538O07,10.00,2021,05,24,126000,53.2543,-6.4444,240.8
178,Truck,Opel,OpelTruck,4,16187398P57,10.00,2021,08,22,119000,53.2863,-6.7654,270.6
179,Truck,Nisan,Urvan,4,181MN6538Q07,10.00,2021,05,24,126000,53.2543,-6.4444,240.8
180,Truck,Opel,OpelTruck,4,16187398R57,10.00,2021,08,22,119000,53.2863,-6.7654,270.6
181,Truck,Nisan,Urvan,4,181MN6538S07,10.00,2021,05,24,126000,53.2543,-6.4444,240.8
182,Truck,Opel,OpelTruck,4,16187398T57,10.00,2021,08,22,119000,53.2863,-6.7654,270.6
